Gene name,Function
GPR25,EC arterial marker
TRGV2,EC arterial marker
CRLF2,EC arterial marker
SPIC,EC arterial marker
FDCSP,EC arterial marker
MYOC,EC arterial marker
ROCR,EC arterial marker
CALHM3,EC arterial marker
LINC00636,EC arterial marker
CD1B,EC arterial marker
NUGGC,EC arterial marker
SEZ6L,EC arterial marker
DGKB,EC arterial marker
RP11-817J15.2,EC arterial marker
CCN1,EC arterial marker
KCNK12,EC arterial marker
DTX1,EC arterial marker
FCN3,EC general capillary marker
IFI27,EC general capillary marker
TMSB10,EC general capillary marker
SFTPC,EC general capillary marker
CLDN5,EC general capillary marker
RGCC,EC general capillary marker
IL7R,EC general capillary marker
MT2A,EC general capillary marker
LRRN4,EC general capillary marker
IL32,EC general capillary marker
NTRK1,EC general capillary marker
MYOC,EC general capillary marker
HPD,EC general capillary marker
NUGGC,EC general capillary marker
LINC01638,EC general capillary marker
TYRP1,EC general capillary marker
SPARCL1,EC general capillary marker
SLC2A5,EC general capillary marker
B3GNT6,EC general capillary marker
TRGV2,EC general capillary marker
RSPO1,EC general capillary marker
CACNA1C-AS2,EC general capillary marker
OTC,EC general capillary marker
CDH19,EC general capillary marker
CGREF1,EC general capillary marker
FDCSP,EC general capillary marker
HOXA10,EC general capillary marker
CD207,EC general capillary marker
LINC01393,EC general capillary marker
LINC02812,EC general capillary marker
ACKR1,EC venous pulmonary marker
CLU,EC venous pulmonary marker
IGFBP7,EC venous pulmonary marker
VWF,EC venous pulmonary marker
GPR25,EC venous pulmonary marker
GPX3,EC venous pulmonary marker
CDH19,EC venous pulmonary marker
FOXS1,EC venous pulmonary marker
PRSS23,EC venous pulmonary marker
CPE,EC venous pulmonary marker
CCL11,EC venous pulmonary marker
TNFSF11,EC venous pulmonary marker
C7,EC venous pulmonary marker
SIGLEC6,EC venous pulmonary marker
NTNG2,EC venous pulmonary marker
EBF2,EC venous pulmonary marker
KLK14,EC venous pulmonary marker
UPP2,EC venous pulmonary marker
TRH,EC venous pulmonary marker
CLEC9A,EC venous pulmonary marker
NTRK1,EC venous pulmonary marker
HPD,EC venous pulmonary marker
CRLF2,EC venous pulmonary marker
AADACL2,EC venous pulmonary marker
LINC00636,EC venous pulmonary marker
TRGV2,EC venous pulmonary marker
PTGS1,EC venous pulmonary marker
UPK3A,EC venous pulmonary marker
HSPB3,EC venous pulmonary marker
TIMP1,EC venous pulmonary marker
SPARCL1,EC venous systemic marker
VIM,EC venous systemic marker
ACKR1,EC venous systemic marker
IGFBP7,EC venous systemic marker
RP11-501J20.5,EC venous systemic marker
ITGA11,EC venous systemic marker
SPIC,EC venous systemic marker
CCL11,EC venous systemic marker
LINC01705,EC venous systemic marker
SIGLEC6,EC venous systemic marker
LAMC3,EC venous systemic marker
BRINP3,EC venous systemic marker
GREM2,EC venous systemic marker
NUGGC,EC venous systemic marker
TFF2,EC venous systemic marker
TRGV2,EC venous systemic marker
SOX10,EC venous systemic marker
CD207,EC venous systemic marker
GATA5,EC venous systemic marker
MYOCD,EC venous systemic marker
ATP1B2,EC venous systemic marker
HLA-DQB1,EC venous systemic marker
SMR3A,EC venous systemic marker
AADACL2,EC venous systemic marker
CD1B,EC venous systemic marker
CALHM3,EC venous systemic marker
B3GNT6,EC venous systemic marker
HSPB3,EC venous systemic marker
CDH19,EC venous systemic marker
KLK14,EC venous systemic marker
MUC5B,Goblet (bronchial) marker
AGR2,Goblet (bronchial) marker
CDH19,Goblet (bronchial) marker
SCGB1A1,Goblet (bronchial) marker
FDCSP,Goblet (bronchial) marker
ANKRD36C,Goblet (bronchial) marker
LINC01705,Goblet (bronchial) marker
BRINP3,Goblet (bronchial) marker
DTX1,Goblet (bronchial) marker
LRRN4,Goblet (bronchial) marker
OTC,Goblet (bronchial) marker
LINC01638,Goblet (bronchial) marker
AMHR2,Goblet (bronchial) marker
TRGV2,Goblet (bronchial) marker
FIBCD1,Goblet (bronchial) marker
KRT1,Goblet (bronchial) marker
SIGLEC6,Goblet (bronchial) marker
CD1B,Goblet (bronchial) marker
KCNN2,Goblet (bronchial) marker
AADACL2,Goblet (bronchial) marker
TEX41,Goblet (bronchial) marker
CD207,Goblet (bronchial) marker
TYRP1,Goblet (bronchial) marker
CTAG2,Goblet (bronchial) marker
UPP2,Goblet (bronchial) marker
GPR25,Goblet (bronchial) marker
GATA5,Goblet (bronchial) marker
GCOM1,Goblet (bronchial) marker
GREM2,Goblet (bronchial) marker
SPIC,Goblet (bronchial) marker
LYPD2,Goblet (nasal) marker
LCN2,Goblet (nasal) marker
FTH1,Goblet (nasal) marker
MUC5AC,Goblet (nasal) marker
WFDC2,Goblet (nasal) marker
VMO1,Goblet (nasal) marker
MT-CO2,Goblet (nasal) marker
S100A4,Goblet (nasal) marker
S100A6,Goblet (nasal) marker
SCGB3A1,Goblet (nasal) marker
C15orf48,Goblet (nasal) marker
BPIFB1,Goblet (nasal) marker
PI3,Goblet (nasal) marker
PIGR,Goblet (nasal) marker
CD24,Goblet (nasal) marker
RPLP0,Goblet (nasal) marker
KRT19,Goblet (nasal) marker
MTRNR2L8,Goblet (nasal) marker
S100A10,Goblet (nasal) marker
GPRC5A,Goblet (nasal) marker
